date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:10:28	32137/32137	---M--	200	added ('OK')	image/jpeg	date:Tue,%2029%20Sep%202020%2004:10:56%20GMT	https://top20.hanhtrinhlotxac.vn/rs/?w=470&h=470&src=https://top20.hanhtrinhlotxac.vn/wp-content/uploads/2020/09/bui-van-quang.jpg	C:/Users/Quy%20V.P/Desktop/facebvq/top20.hanhtrinhlotxac.vn/rs/index914e.html	(from https://top20.hanhtrinhlotxac.vn/baiduthi/bui-van-quang/)
11:10:28	29178/29178	---M--	200	added ('OK')	image/jpeg	date:Tue,%2029%20Sep%202020%2004:10:56%20GMT	https://top20.hanhtrinhlotxac.vn/rs/?w=470&h=470&src=https://top20.hanhtrinhlotxac.vn/wp-content/uploads/2020/09/bui-van-quang-2.jpg	C:/Users/Quy%20V.P/Desktop/facebvq/top20.hanhtrinhlotxac.vn/rs/indexb76d.html	(from https://top20.hanhtrinhlotxac.vn/baiduthi/bui-van-quang/)
11:10:28	31532/31532	---M--	200	added ('OK')	image/jpeg	date:Tue,%2029%20Sep%202020%2004:10:56%20GMT	https://top20.hanhtrinhlotxac.vn/rs/?w=470&h=470&src=https://top20.hanhtrinhlotxac.vn/wp-content/uploads/2020/09/bui-van-quang-4.jpg	C:/Users/Quy%20V.P/Desktop/facebvq/top20.hanhtrinhlotxac.vn/rs/index6f0a.html	(from https://top20.hanhtrinhlotxac.vn/baiduthi/bui-van-quang/)
11:10:28	3/3	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2029%20Sep%202020%2004:10:56%20GMT	https://top20.hanhtrinhlotxac.vn/baiduthi/bui-van-quang/www.benhvienthammykangnam.vn	C:/Users/Quy%20V.P/Desktop/facebvq/top20.hanhtrinhlotxac.vn/baiduthi/bui-van-quang/www.benhvienthammykangnam.vn	(from https://top20.hanhtrinhlotxac.vn/baiduthi/bui-van-quang/)
11:10:29	95996/95996	---MCZ	200	added ('OK')	application/javascript	etag:W/%225751af30-176fc%22	https://top20.hanhtrinhlotxac.vn/wp-content/themes/Hanhtrinhlotxac2019/Module/Post/media/js/jquery.min.js	C:/Users/Quy%20V.P/Desktop/facebvq/top20.hanhtrinhlotxac.vn/wp-content/themes/Hanhtrinhlotxac2019/Module/Post/media/js/jquery.min.js	(from https://top20.hanhtrinhlotxac.vn/baiduthi/bui-van-quang/)
11:10:29	7936/7936	---MCZ	200	added ('OK')	application/javascript	etag:W/%225f487330-1f00%22	https://top20.hanhtrinhlotxac.vn/wp-content/themes/Hanhtrinhlotxac2019/Module/Post/media/js/lib-min.js	C:/Users/Quy%20V.P/Desktop/facebvq/top20.hanhtrinhlotxac.vn/wp-content/themes/Hanhtrinhlotxac2019/Module/Post/media/js/lib-min.js	(from https://top20.hanhtrinhlotxac.vn/baiduthi/bui-van-quang/)
11:10:29	116646/116646	---MCZ	200	added ('OK')	application/javascript	etag:W/%225f277466-1c7a6%22	https://top20.hanhtrinhlotxac.vn/wp-content/themes/Hanhtrinhlotxac2019/Module/Post/media/js/tiny-slider.js	C:/Users/Quy%20V.P/Desktop/facebvq/top20.hanhtrinhlotxac.vn/wp-content/themes/Hanhtrinhlotxac2019/Module/Post/media/js/tiny-slider.js	(from https://top20.hanhtrinhlotxac.vn/baiduthi/bui-van-quang/)
11:10:29	6101/6101	---MCZ	200	added ('OK')	application/javascript	etag:W/%22572342b0-17d5%22	https://top20.hanhtrinhlotxac.vn/wp-content/themes/Hanhtrinhlotxac2019/Module/Post/media/js/smoothproducts.min.js	C:/Users/Quy%20V.P/Desktop/facebvq/top20.hanhtrinhlotxac.vn/wp-content/themes/Hanhtrinhlotxac2019/Module/Post/media/js/smoothproducts.min.js	(from https://top20.hanhtrinhlotxac.vn/baiduthi/bui-van-quang/)
11:10:29	3683/3683	---MCZ	200	added ('OK')	application/javascript	etag:W/%225f6b03b0-e63%22	https://top20.hanhtrinhlotxac.vn/wp-content/themes/Hanhtrinhlotxac2019/Module/Post/media/js/setup.js?ver=2	C:/Users/Quy%20V.P/Desktop/facebvq/top20.hanhtrinhlotxac.vn/wp-content/themes/Hanhtrinhlotxac2019/Module/Post/media/js/setup77ae.js	(from https://top20.hanhtrinhlotxac.vn/baiduthi/bui-van-quang/)
11:10:30	8265/8265	---MCZ	200	added ('OK')	application/javascript	etag:W/%225f6c2e1c-2049%22	https://top20.hanhtrinhlotxac.vn/wp-content/themes/Hanhtrinhlotxac2019/vote.js?v=6	C:/Users/Quy%20V.P/Desktop/facebvq/top20.hanhtrinhlotxac.vn/wp-content/themes/Hanhtrinhlotxac2019/vote1bce.js	(from https://top20.hanhtrinhlotxac.vn/baiduthi/bui-van-quang/)
11:10:30	137749/137749	---M-Z	200	added ('OK')	application/x-javascript	date:Tue,%2029%20Sep%202020%2004:10:34%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/Users/Quy%20V.P/Desktop/facebvq/connect.facebook.net/en_US/fbevents.js	(from https://top20.hanhtrinhlotxac.vn/baiduthi/bui-van-quang/)
11:10:30	10101/10101	---M--	200	added ('OK')	image/png	etag:%225f6c72df-2775%22	https://top20.hanhtrinhlotxac.vn/wp-content/themes/Hanhtrinhlotxac2019/Module/Post/media/images/logo.png	C:/Users/Quy%20V.P/Desktop/facebvq/top20.hanhtrinhlotxac.vn/wp-content/themes/Hanhtrinhlotxac2019/Module/Post/media/images/logo.png	(from https://top20.hanhtrinhlotxac.vn/wp-content/themes/Hanhtrinhlotxac2019/Module/Post/media/css/post.css?ver=58)
11:10:31	52712/52712	---M--	200	added ('OK')	image/jpeg	etag:%225f56e95c-cde8%22	https://top20.hanhtrinhlotxac.vn/wp-content/themes/Hanhtrinhlotxac2019/Module/Post/media/images/pop-map.jpg	C:/Users/Quy%20V.P/Desktop/facebvq/top20.hanhtrinhlotxac.vn/wp-content/themes/Hanhtrinhlotxac2019/Module/Post/media/images/pop-map.jpg	(from https://top20.hanhtrinhlotxac.vn/wp-content/themes/Hanhtrinhlotxac2019/Module/Post/media/css/post.css?ver=58)
11:10:31	3/3	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2029%20Sep%202020%2004:10:59%20GMT	https://top20.hanhtrinhlotxac.vn/baiduthi/bui-van-quang/POST	C:/Users/Quy%20V.P/Desktop/facebvq/top20.hanhtrinhlotxac.vn/baiduthi/bui-van-quang/POST	(from https://connect.facebook.net/en_US/fbevents.js)
